sr_no,Dta,Dts,QFE,RF,Q,RH,S,SR,Sx,T
1,140,16,1011,0,2,62.6,5,13,7,21.13
2,123,18,1010.8,0,4,49.2,6,16,9,22.2
3,110,19,1010.7,0,6,38.8,8,6,12,22.7
4,105,17,1010.7,0,8,34.6,9,26,13,23.13
5,100,18,1010.6,0,10,33.7,9,22,15,23.33
6,102,19,1010.6,0,12,33.6,10,25,16,23.5
7,100,17,1010.6,0,14,33.5,11,27,19,23.6
8,100,15,1010.5,0,16,34.2,11,13,17,23.3
9,101,18,1010.4,0,18,35,12,27,19,23.09
10,99,16,1010.3,0,20,35.9,14,13,22,22.84
11,99,17,1010.3,0,22,36.5,12,17,20,22.63
12,96,18,1010.3,0,24,37.3,10,13,15,22.37
13,98,22,1010.3,0,26,38.1,10,8,17,22.1
14,97,15,1010.3,0,28,39.1,9,19,20,21.72
15,95,18,1010.2,0,30,39.8,12,22,20,21.63
16,87,16,1010.2,0,32,40.9,9,13,14,21.26
17,88,16,1010.2,0,34,41.8,9,14,15,21.01
18,95,14,1010.1,0,36,42.2,10,17,17,20.89
19,100,17,1010.1,0,38,43.2,10,21,16,20.58
20,97,15,1010,0,40,44,10,7,16,20.34
21,83,16,1010.1,0,42,45.1,8,18,12,20.09
22,80,19,1010.1,0,44,45.7,8,16,13,19.98
23,86,14,1010,0,46,46.3,8,18,13,19.85
24,93,14,1009.9,0,48,46.7,8,9,13,19.75
25,93,16,1009.9,0,50,47.4,7,21,12,19.53
26,93,14,1009.8,0,52,47.5,7,24,10,19.6
27,86,11,1009.8,0,54,48.2,7,16,10,19.34
28,90,11,1009.6,0,56,48.6,8,21,11,19.24
29,89,12,1009.5,0,58,48.9,8,27,12,19.19
30,86,11,1009.4,0,60,49.3,8,7,11,19.09
31,88,17,1009.3,0,62,49.6,6,13,9,18.99
32,95,15,1009.4,0,64,50.3,4,19,7,18.82
33,92,14,1009.3,0,66,50.7,5,18,9,18.8
34,91,11,1009.2,0,68,51.2,8,19,12,18.61
35,86,10,1009.2,0,70,51.4,10,6,12,18.55
36,85,10,1009.2,0,72,52.3,8,18,11,18.28
37,82,11,1009,0,74,53.1,8,11,11,18.1
38,72,12,1009,0,76,53.2,8,19,12,18.09
39,70,13,1009,0,78,53.5,9,15,13,18.01
40,71,15,1009.1,0,80,54,9,12,16,17.87
41,73,14,1009.2,0,82,54,10,8,15,17.83
42,74,14,1009.2,0,84,54.5,11,19,16,17.66
43,73,16,1009.3,0,86,55.4,9,27,14,17.43
44,66,15,1009.4,0,88,56,8,24,12,17.38
45,61,13,1009.5,0,90,56.9,7,33,11,17.15
46,62,13,1009.5,0,92,57.2,7,33,11,17.16
47,66,14,1009.6,0,94,56.9,8,61,12,17.25
48,78,15,1009.5,0,96,55.9,10,60,16,17.51
49,78,13,1009.6,0,98,55.6,11,70,16,17.58
50,77,15,1009.6,0,100,55.6,11,76,19,17.6
51,75,15,1009.6,0,102,55.1,11,95,17,17.79
52,75,15,1009.5,0,104,55.1,9,196,16,17.93
53,80,13,1009.4,0,106,52.6,11,268,16,18.86
54,80,15,1009.4,0,108,50.7,12,333,18,19.34
55,77,15,1009.3,0,110,45.2,10,307,16,19.85
56,73,16,1009.3,0,112,43.5,9,399,16,20.37
57,74,16,1009.3,0,114,46.5,10,431,17,20.95
58,75,19,1009.3,0,116,45.6,9,450,15,21.3
59,72,16,1009.3,0,118,45.7,11,488,16,21.62
60,69,17,1009.3,0,120,44.7,9,523,14,22.31
61,73,16,1009.2,0,122,43.3,9,567,13,22.86
62,82,15,1009.1,0,124,41.1,9,593,13,23.56
63,78,14,1009,0,126,40.1,10,645,15,23.65
64,75,20,1008.9,0,128,39.8,9,672,15,24.53
65,70,21,1008.7,0,130,38.4,9,685,15,25.07
66,85,17,1008.5,0,132,38,9,735,13,25.38
67,78,20,1008.3,0,134,36.6,9,772,13,25.9
68,76,19,1008.3,0,136,35,8,757,14,26.62
69,71,16,1008,0,138,35,9,673,12,26.99
70,63,16,1007.9,0,140,34.5,9,786,14,26.49
71,70,24,1007.7,0,142,33.8,8,591,13,27.72
72,71,20,1007.6,0,144,33.4,8,913,12,27.67
73,69,23,1007.3,0,146,33.1,8,889,12,28.57
74,81,20,1007.2,0,148,32.2,8,939,11,29.16
75,96,18,1007.1,0,150,31,8,664,11,29.19
76,75,20,1007,0,152,31.2,8,667,11,29.36
77,73,21,1006.9,0,154,29.6,7,990,10,30.01
78,84,26,1006.8,0,156,28.9,6,1031,11,30.97
79,53,22,1006.7,0,158,27.8,6,927,10,31.16
80,91,59,1006.4,0,160,27.3,5,1073,9,31.36
81,79,28,1006.1,0,162,27.9,6,1082,9,32.24
82,102,24,1005.9,0,164,26.8,6,1090,8,32.45
83,156,92,1005.8,0,166,26.1,5,919,8,32.41
84,51,21,1005.6,0,168,24.2,6,876,11,32.93
85,61,24,1005.5,0,170,24.9,5,700,8,32.84
86,270,76,1005.4,0,172,25,4,592,5,33.15
87,74,32,1005.2,0,174,24.7,5,733,7,33.35
88,61,53,1005.1,0,176,24.8,4,754,8,33.28
89,127,60,1004.9,0,178,24.4,4,1048,9,33.45
90,113,31,1004.8,0,180,23,5,869,7,33.9
91,119,50,1004.8,0,182,21,5,1027,8,34.58
92,220,45,1004.7,0,184,25.1,4,1034,7,34.79
93,255,37,1004.6,0,186,27.5,7,1007,13,33.73
94,260,34,1004.6,0,188,27.5,8,996,11,33.92
95,270,29,1004.5,0,190,28.1,8,1048,11,33.49
96,244,38,1004.4,0,192,26.7,7,775,11,32.96
97,269,25,1004.3,0,194,27,7,570,11,33.07
98,271,32,1004.3,0,196,28.4,8,660,12,32.69
99,264,30,1004.3,0,198,31,8,771,15,32.5
100,262,28,1004.2,0,200,29.6,8,716,12,32.71
101,329,46,1004.2,0,202,29.8,6,495,11,31.46
102,203,101,1004.1,0,204,30.8,7,938,11,31.87
103,205,85,1004,0,206,33.5,6,875,12,32.07
104,236,36,1004,0,208,31.5,8,837,12,31.32
105,233,39,1003.9,0,210,33.2,7,823,10,30.83
106,226,46,1003.8,0,212,34.6,7,728,10,29.97
107,313,107,1003.9,0,214,40.8,8,363,12,28.86
108,240,39,1004,0,216,40.8,9,375,16,27.85
109,242,31,1004,0,218,44.7,10,463,15,27.53
110,237,40,1004,0,220,49.1,7,464,12,27.11
111,123,83,1004,0,222,46.7,9,585,14,27.36
112,237,31,1003.9,0,224,43.3,9,545,14,27.91
113,233,35,1003.7,0,226,42.4,8,474,13,27.64
114,25,83,1003.7,0,228,41.5,8,428,13,27.46
115,194,101,1003.7,0,230,44.2,7,391,12,27.05
116,216,36,1003.7,0,232,43.3,6,369,10,26.84
117,219,36,1003.8,0,234,46.9,7,328,11,26.29
118,215,40,1003.9,0,236,47.2,6,286,10,26.48
119,209,86,1003.9,0,238,51.6,7,253,11,25.38
120,221,39,1004,0,240,53.8,7,229,12,25.15
121,220,31,1004,0,242,56.1,6,180,11,24.97
122,226,33,1004.1,0,244,56.4,6,143,11,24.91
123,230,31,1004.1,0,246,58.3,6,115,10,24.55
124,227,28,1004.3,0,248,60.3,6,70,8,24.24
125,220,24,1004.4,0,250,61.3,4,46,8,23.96
126,165,77,1004.5,0,252,62.4,5,29,7,23.61
127,229,25,1004.7,0,254,61.4,5,28,8,23.27
128,225,33,1004.7,0,256,58.6,6,16,11,23.06
129,326,60,1004.7,0,258,60.9,6,27,11,22.73
130,218,26,1004.8,0,260,63.6,6,18,9,22.34
131,206,64,1004.9,0,262,63.7,5,24,7,22.07
132,221,29,1005,0,264,65.2,5,15,8,21.84
133,218,30,1005.1,0,266,66.2,3,11,6,21.67
134,200,28,1005.2,0,268,66.6,2,26,4,21.45
135,209,19,1005.2,0,270,67.5,3,18,4,21.14
136,224,16,1005.2,0,272,68.7,2,15,4,20.85
137,231,11,1005.2,0,274,69.8,4,23,5,20.59
138,234,19,1005.3,0,276,71.9,2,20,5,20.48
139,229,19,1005.4,0,278,72.5,2,15,4,20.34
140,206,17,1005.4,0,280,73.3,1,16,3,20.33
141,200,10,1005.4,0,282,73.8,2,24,4,20.11
142,223,12,1005.5,0,284,74.6,2,18,3,20.06
143,234,10,1005.6,0,286,75.8,0,20,2,19.7
144,235,9,1005.8,0,288,78,2,17,5,19.54
145,220,13,1005.7,0,290,80,2,10,4,19.44
146,210,12,1005.7,0,292,81.7,2,26,4,19.33
147,196,6,1005.7,0,294,82.9,3,23,4,19.33
148,194,10,1005.7,0,296,83.3,3,26,3,19.13
149,193,5,1005.7,0,298,84.7,1,18,3,19.17
150,198,1,1005.7,0,300,85.1,0,21,0,18.92
151,198,0,1005.7,0,302,86.2,0,13,0,18.76
152,195,4,1005.6,0,304,86.6,0,17,0,18.5
153,182,3,1005.5,0,306,87.1,0,16,0,18.28
154,176,2,1005.4,0,308,87.7,0,15,0,18.17
155,177,1,1005.4,0,310,89,0,7,0,18.11
156,181,1,1005.3,0,312,89.7,0,8,0,17.56
157,182,1,1005.2,0,314,90.9,0,17,0,17.55
158,182,0,1005.2,0,316,91.7,0,9,0,17.42
159,182,0,1005.1,0,318,92.7,0,20,0,17.32
160,195,17,1005.1,0,320,93.1,0,15,0,17.05
161,224,2,1005,0,322,94,1,22,3,16.93
162,226,0,1004.9,0,324,94.7,0,15,0,16.92
163,227,0,1004.9,0,326,95.1,0,14,0,16.62
164,227,0,1005.1,0,328,95.6,0,13,0,16.4
165,227,0,1005,0,330,96.5,0,16,0,16.51
166,227,0,1005,0,332,97.6,0,8,0,16.66
167,227,0,1004.9,0,334,97.6,0,10,0,16.48
168,227,0,1004.8,0,336,97.6,0,20,0,16.38
169,226,0,1004.7,0,338,97.6,0,15,1,16.05
170,228,12,1004.7,0,340,97.6,0,19,0,15.75
171,226,4,1004.7,0,342,97.7,0,14,0,15.74
172,158,78,1004.8,0,344,97.7,1,18,4,15.86
173,50,3,1005,0,346,97.7,4,25,5,15.89
174,47,1,1004.9,0,348,97.7,3,19,4,15.95
175,43,1,1004.8,0,350,97.7,4,18,5,16.03
176,43,1,1005,0,352,97.7,3,31,4,16.38
177,42,0,1005,0,354,97.8,1,20,3,16.39
178,42,0,1005,0,356,97.8,0,12,0,16.54
179,57,11,1005,0,358,97.8,3,23,5,16.64
180,65,6,1004.9,0,360,97.8,4,11,5,16.8
181,61,1,1004.9,0,362,97.8,2,31,4,16.93
182,61,0,1004.9,0,364,97.8,0,24,0,16.99
183,61,0,1004.9,0,366,97.8,0,28,0,17.09
184,61,0,1004.9,0,368,97.8,0,23,0,17.03
185,61,0,1004.8,0,370,97.7,0,13,0,17.07
186,61,0,1004.7,0,372,97.7,0,16,0,16.96
187,61,0,1004.8,0,374,97.6,0,17,0,16.92
188,105,58,1004.9,0,376,97.7,0,26,0,16.78
189,184,0,1004.9,0,378,97.6,0,37,0,16.64
190,184,0,1005,0,380,97.6,0,42,0,16.59
191,184,0,1005,0,382,97.6,0,19,0,16.28
192,184,10,1005.1,0,384,97.6,1,41,3,16.47
193,185,10,1005.1,0,386,97.6,1,58,3,16.47
194,184,1,1005.2,0,388,97.7,0,144,0,16.86
195,184,0,1005.3,0,390,97.8,0,298,0,17.73
196,208,15,1005.3,0,392,97.8,1,291,3,18.81
197,195,10,1005.4,0,394,97.7,3,146,4,19.44
198,194,22,1005.4,0,396,94.8,4,148,6,19.69
199,211,24,1005.5,0,398,88.7,4,184,6,20.06
200,218,26,1005.5,0,400,83.6,5,142,8,20.25
201,215,26,1005.6,0,402,80.9,4,282,7,20.43
202,201,23,1005.5,0,404,76.5,5,194,7,20.86
203,224,26,1005.6,0,406,76,5,212,8,20.66
204,211,27,1005.7,0,408,74.6,5,636,8,21.49
205,186,19,1005.7,0,410,70,5,708,9,22.23
206,205,31,1005.9,0,412,69.2,5,766,9,21.98
207,232,26,1005.9,0,414,69.4,6,208,10,21.85
208,242,25,1005.9,0,416,68,5,702,9,22.14
209,233,29,1005.8,0,418,67.5,5,664,8,22.35
210,230,20,1005.7,0,420,65.6,5,654,8,22.51
211,242,26,1005.6,0,422,64.8,4,744,7,23.16
212,213,40,1005.5,0,424,63.1,5,779,8,23.17
213,220,30,1005.4,0,426,63.8,4,800,7,23.3
214,248,26,1005.3,0,428,61.7,6,822,9,23.71
215,237,20,1005.4,0,430,59.4,6,864,8,23.84
216,239,29,1005.3,0,432,58.1,4,878,8,24.38
217,231,47,1005.2,0,434,59.3,5,901,7,24.45
218,238,26,1005.2,0,436,57.1,6,920,9,24.45
219,263,33,1005.1,0,438,56.9,7,947,13,25.66
220,254,26,1005.1,0,440,56.4,7,954,10,25.15
221,237,33,1005,0,442,57.8,6,974,9,24.74
222,254,26,1005.1,0,444,55.7,7,978,11,24.6
223,255,34,1005.1,0,446,55,6,1001,9,25.69
224,254,29,1005.1,0,448,56.4,6,1013,9,25.35
225,259,26,1005.2,0,450,55.7,8,1007,11,25.41
226,259,25,1005.1,0,452,55.1,7,1019,11,25.25
227,260,21,1005,0,454,56.5,8,1014,13,25.55
228,253,32,1004.9,0,456,54.6,7,1009,11,24.91
229,272,27,1004.9,0,458,51.3,8,1017,12,26.15
230,246,33,1004.7,0,460,53.3,7,1022,11,25.33
231,260,25,1004.6,0,462,51,8,1028,11,25.62
232,261,26,1004.8,0,464,49.6,8,1021,11,25.49
233,269,29,1004.7,0,466,51.6,8,1007,11,25.9
234,263,31,1004.6,0,468,51.4,7,1008,12,26.07
235,259,27,1004.6,0,470,53.6,7,996,12,25.69
236,246,31,1004.6,0,472,53.8,8,999,11,25.01
237,233,34,1004.4,0,474,56.7,7,977,11,24.49
238,313,106,1004.3,0,476,55.5,6,940,10,25.31
239,234,34,1004.4,0,478,55.8,7,961,12,24.95
240,182,94,1004.4,0,480,53,7,938,11,25.52
241,237,25,1004.4,0,482,56.3,7,927,13,24.62
242,243,27,1004.5,0,484,57.1,8,912,13,24.31
243,16,89,1004.4,0,486,57.1,8,880,12,24.26
244,242,32,1004.5,0,488,57.4,7,871,12,24.19
245,254,31,1004.5,0,490,58,7,857,11,24.53
246,252,31,1004.4,0,492,59,8,804,13,24.4
247,248,33,1004.5,0,494,58.2,7,780,11,24.66
248,252,31,1004.6,0,496,59.3,7,769,12,24.66
249,253,28,1004.6,0,498,59.4,8,736,13,23.39
250,248,31,1004.7,0,500,61.1,9,686,17,23.61
251,266,27,1004.5,0,502,59.8,7,652,11,23.97
252,249,26,1004.6,0,504,61.9,8,620,11,23.58
253,253,32,1004.6,0,506,59.8,6,595,10,24.25
254,94,64,1004.5,0,508,60.3,7,541,11,23.76
255,254,19,1004.4,0,510,60.6,7,509,12,23.6
256,252,26,1004.3,0,512,59.9,7,473,10,23.04
257,244,23,1004.3,0,514,61.9,6,457,10,23.24
258,257,24,1004.3,0,516,63.6,6,485,10,23.25
259,256,20,1004.2,0,518,62,6,382,10,23.08
260,246,23,1004.2,0,520,63.5,6,219,9,22.42
261,229,28,1004.1,0,522,66.8,5,103,7,22.16
262,244,19,1004.2,0,524,68.7,5,56,7,21.79
263,237,21,1004.2,0,526,70.2,5,65,8,21.35
264,220,25,1004.1,0,528,72.3,3,97,5,21.26
265,223,22,1004.1,0,530,72.3,3,91,6,21.25
266,225,19,1004.1,0,532,73.6,3,81,5,21.13
267,240,21,1004.4,0,534,73.9,3,65,5,21.13
268,246,19,1004.5,0,536,74.3,4,57,6,20.96
269,237,12,1004.4,0,538,75.1,2,59,5,20.77
270,223,18,1004.2,0,540,75.7,0,35,1,20.57
271,217,18,1004.2,0,542,76.7,2,23,4,20.29
272,244,16,1004.6,0,544,78,2,18,5,20
273,252,13,1004.6,0,546,78.8,2,22,4,19.92
274,254,15,1004.7,0,548,79.8,3,16,4,19.91
275,241,7,1005,0,550,80.9,5,21,6,19.82
276,225,15,1004.9,0,552,81.7,3,5,5,19.83
277,238,19,1005,0,554,82.6,5,19,8,19.69
278,236,16,1005.3,0,556,83.4,5,24,9,19.58
279,241,19,1005.5,0,558,83.8,6,27,9,19.54
280,247,17,1005.8,0,560,84.4,5,22,8,19.46
281,252,15,1006,0,562,85.3,4,15,6,19.29
282,245,16,1006,0,564,86.2,5,25,9,19.21
283,238,13,1005.9,0,566,86.8,6,16,8,19.16
284,233,15,1005.8,0,568,87.6,5,8,7,19.07
285,202,21,1005.4,0,570,88,4,14,5,19.13
286,189,13,1005.8,0,572,87.9,3,17,5,19.02
287,208,16,1005.6,0,574,88.2,3,10,5,18.98
288,216,44,1005.5,0,576,88.4,3,17,5,18.91
289,163,48,1005,0,578,88.3,3,30,6,19.06
290,192,17,1005.3,0,580,88.1,3,21,5,19.01
291,162,30,1003,0,582,87.8,6,21,11,19.12
292,242,77,1005.6,0,584,87.4,6,9,10,18.83
293,162,99,1005.2,0,586,87.9,2,13,6,18.63
294,198,16,1005.2,0,588,88.4,2,10,5,18.47
295,223,17,1004.8,0,590,89.2,0,17,0,18.22
296,177,17,1004.5,0,592,90.5,2,5,4,18.12
297,230,38,1005.3,0,594,91.4,2,11,4,18
298,246,10,1005.2,0,596,92.1,1,24,3,17.96
299,156,16,1004.2,0,598,93.1,0,21,4,18.15
300,157,25,1004.2,0,600,93,4,25,5,18.23
301,184,31,1004,0,602,92.9,4,24,5,18.03
302,211,55,1005.2,0,604,93.1,4,18,8,17.85
303,202,50,1004.1,0,606,93.9,2,21,6,18.02
